Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Growth/yr 2018,Growth/yr 2007-17,Share 2018
Australia,34.8,38.1,40.5,42.9,44.7,48.7,51.2,53.5,57.2,60.8,61.8,64,67.2,68.8,71.6,72.1,72.7,72.6,72.8,76,76.5,79.1,81.2,85,89.1,90.7,90.1,91,93.6,97.4,100,102.5,105.1,107.5,112.2,112.7,113.8,115.5,117.3,121.2,120.9,128.1,129.9,132.3,131.4,131.9,136.4,134.6,135.3,137.5,139.2,142.1,140.5,144.3,2.70%,0.80%,1.00%
Bangladesh,n/a,n/a,n/a,n/a,n/a,n/a,0.7,1.4,1.7,1.7,2,2.3,2.3,2.5,2.8,3.1,3.2,3.5,3.4,3.7,4.1,4.5,5,5.5,6,6.3,6.1,6.7,7.3,7.8,9.2,9.6,10.1,10.8,10.9,11.7,13.4,13.8,14.6,15.1,16.1,17,17.8,18.8,20.6,21.6,23,25,25.5,27,31.3,31.8,33,35.8,8.60%,6.40%,0.30%
China,131.5,142.9,128.5,129.8,158,202.4,240,258.7,273,281.4,315.2,331.9,362,397.1,408.9,416.8,411.1,429.2,456.7,490.1,530.1,555.6,599.2,643.6,675.3,683.9,718.6,756.8,814.7,864.5,890.9,937.4,942.8,944,977.2,1010.9,1067.7,1163.6,1355.7,1586.3,1802.8,1977.1,2149.6,2230.4,2330.1,2491.6,2690.5,2799.5,2907.5,2974.7,3009.6,3047.1,3139,3273.5,4.30%,3.90%,23.60%
China Hong Kong SAR,2.3,2.5,2.9,3.1,3.7,4,4.2,4.7,4.9,5,4.7,5.6,6,6.3,6.4,6.6,7,7.7,8.1,8.3,8.7,9.1,10,11.5,12.3,12,12.4,14.6,16,14.5,15.5,15.5,15.7,16,16.2,17,21.4,20.9,21.6,24.2,23.2,24.6,26.1,24.3,26.6,27.6,28.3,27.2,28,27.3,28.1,28.8,30.9,31.1,0.60%,1.70%,0.20%
India,52.7,54.3,56,59.8,66.3,64.8,67.4,70.9,72.4,76.8,82.4,86.4,91.4,94.8,100.2,103.2,114.3,113.4,119.4,127.5,134.7,144.2,153.6,167.1,182.5,195.8,206.5,217.2,222.6,234.4,252.2,262.5,277.1,293.7,301.7,317.5,319.3,334.3,347.3,367.8,395.1,415.4,451.9,477.9,514.3,539.2,571.4,601,624.5,667.5,689.8,719.3,750.1,809.2,7.90%,5.20%,5.80%
Indonesia,7.2,7.1,7.1,7.5,8.5,9.1,8.7,9.3,10.4,11.2,13.7,14.4,19,21.1,24.1,25.8,28,28.6,30.3,32.8,34.9,38.6,40.8,43.1,47.7,52.5,56.9,62.5,66,70.6,75.2,80.2,87.2,85.6,93.4,101.6,107.5,112.4,121,120.4,123.4,125.2,134.4,132.7,137.6,151.1,164.6,173.4,178.2,167.2,165.7,170.2,176.9,185.5,4.90%,2.80%,1.30%
Japan,153.3,171,196.4,217.8,249.8,278.4,295.8,310.8,346.8,346.1,330,344,343.4,355.9,369.8,358.9,353.1,341.3,344.8,372.9,377.1,377.5,384.8,409.4,423.3,441.3,452.1,457.7,463.8,481.9,500.6,510.1,519.1,507.5,516.5,522.3,517.8,516.8,515.7,522.2,530.9,529.9,525.3,517.8,473.1,504.7,479.1,475.7,472.3,460.3,453.3,450.8,455.2,454.1,-0.20%,-1.40%,3.30%
Malaysia,2.5,2.9,2.9,3,3.1,3.5,3.9,4.3,4.7,4.8,5,5.5,6.1,8.4,10.2,11,11.3,12.2,14,15.1,14.9,16.7,17.2,18.3,20.4,22.1,26.7,28.9,30.2,32.9,34.3,38.3,44.6,41.5,46.9,52.2,52.6,56.3,61.3,65.3,69.7,72.4,77.2,80,77.7,80.1,82.9,89,93.1,93.6,95.1,96.6,96.7,99.3,2.70%,2.30%,0.70%
New Zealand,7,7.5,7.5,7.7,7.8,8.7,9.1,9.7,10.1,10.2,10.3,10.6,10.9,10.7,10.8,10.9,10.9,11.3,11.7,12.4,12.5,13.1,13.5,13.8,14.2,14.7,15.2,15.3,15.8,16.8,17.3,17.8,17.9,17.9,18.1,18.9,18.8,19.5,19,19.6,19,19.2,19.2,19.3,19.2,19.9,19.7,20,20.2,21.2,21.4,21.6,22.2,21.7,-1.90%,1.40%,0.20%
Pakistan,7,7.1,7.8,8.9,8.9,8.8,8.5,7.5,8,8.5,9.2,9.3,10.1,10.8,11.8,13.1,14,15.5,16.5,17.5,18.4,19.5,21.8,23.2,24.6,25.8,27.3,28.7,31.7,32.9,34.7,36.9,35.8,38.3,40.1,41,42,43.6,47.5,52.9,55.2,58.3,62,62.4,63.2,63.4,63.5,64.1,64.9,66.9,70.4,76.6,81,85,5.00%,2.70%,0.60%
